country,state,city,location_x,location_y
United States,Kentucky,Springfield,-85.217676,37.683658
United States,Kentucky,Mckee,-83.988324,37.430289
United States,Kentucky,Munfordville,-85.889578,37.271492
United States,Kentucky,Tyner,-83.922703,37.330559
United States,Kentucky,Burkesville,-85.364614,36.790074
United States,Kentucky,Sandy Hook,-83.122634,38.093439
United States,Kentucky,Jackson,-83.348327,37.535327
United States,California,Orange ,-117.85586,33.791554
United States,Kentucky,Alexandria ,-84.392139,38.97801
United States,Kentucky,Highland Heights ,-84.451866,39.028829
United States,Kentucky,Newport ,-84.491761,39.090164
United States,Kentucky,Cynthiana,-84.286978,38.394075
United States,Kentucky,La Grange,-85.379458,38.407465
United States,California,Colusa,-122.01403,39.214999
United States,Kentucky,Cynthiana,-84.297879,38.390005
United States,California,Phelan,-117.52483,34.439822
United States,California,Paradise,-121.59544,39.77368
United States,California,Chico,-121.83832,39.730823
United States,California,Chico,-121.84845,39.758425
United States,California,Los Angeles ,-118.1919,34.110124
United States,California,Los Angeles ,-118.19193,34.110171
United States,California,Los Angeles ,-118.2131,34.073591
United States,California,Los Angeles,-118.30887,34.10151
United States,California,McKinleyville,-124.10056,40.944643
United States,California,Half Moon Bay ,-122.43737,37.46677
United States,Kentucky,Marion,-88.081353,37.334578
United States,California,Pacifica ,-122.49508,37.609415
United States,Kentucky,Midway ,-84.682308,38.149925
United States,California,Palm Springs,-116.52118,33.820251
United States,California,Palm Springs,-116.52525,33.817078
United States,Kentucky,Stearns,-84.474473,36.694321
United States,California,Oakland,-122.27459,37.801382
United States,California,Oakland,-122.25973,37.839774
United States,California,Cedarville,-120.17166,41.527832
United States,California,Alturas,-120.5422,41.483907
United States,Kentucky,Williamsburg ,-84.159267,36.741975
United States,Kentucky,Corbin ,-84.096509,36.947
United States,Kentucky,Campton ,-83.542778,37.727015
United States,Kentucky,Bowling Green,-86.438462,36.970919
United States,California,Cambria,-121.09662,35.564323
United States,California,Morro Bay,-120.84995,35.365976
United States,California,San Luis Obispo,-120.66718,35.247189
